,ue,oe,rec,pre,ue_np,ue_levin,asa,sse_rgb,sse_xy,co,ev,mde,icv,cd,reg,sp,sp_size,sp_size_variation
ue,1.000000,-0.558874,-0.528583,0.732898,0.999602,0.119677,-0.999888,0.319811,-0.108807,0.095480,-0.283364,0.515498,0.343882,-0.179508,0.030475,0.024098,-0.074347,0.004735
oe,-0.558874,1.000000,0.015875,-0.739666,-0.554965,0.023076,0.559105,-0.185744,-0.484908,-0.105941,-0.081816,-0.012864,-0.231823,0.196797,-0.188599,0.095751,-0.330483,-0.621961
rec,-0.528583,0.015875,1.000000,0.014093,-0.535822,-0.147759,0.529169,-0.221859,0.206454,0.015462,0.422787,-0.980577,-0.239169,0.246352,0.049459,-0.120217,0.220469,0.044636
pre,0.732898,-0.739666,0.014093,1.000000,0.728225,0.065606,-0.732786,0.140787,0.075758,0.191667,0.077330,-0.035055,0.188314,-0.167511,0.134451,-0.066693,0.171105,0.112040
ue_np,0.999602,-0.554965,-0.535822,0.728225,1.000000,0.120328,-0.999398,0.322458,-0.109293,0.092827,-0.288054,0.522932,0.346416,-0.181614,0.029201,0.025010,-0.075952,0.006218
ue_levin,0.119677,0.023076,-0.147759,0.065606,0.120328,1.000000,-0.119662,0.092457,-0.079784,-0.034877,-0.135193,0.152799,0.103862,-0.026498,-0.020916,0.010299,-0.031967,-0.049986
asa,-0.999888,0.559105,0.529169,-0.732786,-0.999398,-0.119662,1.000000,-0.319790,0.108856,-0.095519,0.283436,-0.515476,-0.344146,0.179851,-0.030422,-0.020769,-0.097444,-0.004811
sse_rgb,0.319811,-0.185744,-0.221859,0.140787,0.322458,0.092457,-0.319790,1.000000,-0.043928,-0.133496,-0.587741,0.247937,0.951217,-0.024606,-0.083114,-0.037307,0.090350,0.036127
sse_xy,-0.108807,-0.484908,0.206454,0.075758,-0.109293,-0.079784,0.108856,-0.043928,1.000000,-0.139513,0.112715,-0.207466,-0.018923,0.023287,-0.026454,-0.110828,0.299989,0.836439
co,0.095480,-0.105941,0.015462,0.191667,0.092827,-0.034877,-0.095519,-0.133496,-0.139513,1.000000,0.172284,-0.017267,-0.137456,-0.686845,0.200690,0.039548,-0.136278,-0.090864
ev,-0.283364,-0.081816,0.422787,0.077330,-0.288054,-0.135193,0.283436,-0.587741,0.112715,0.172284,1.000000,-0.443665,-0.567114,0.057501,0.181642,-0.114900,0.257052,0.023051
mde,0.515498,-0.012864,-0.980577,-0.035055,0.522932,0.152799,-0.515476,0.247937,-0.207466,-0.017267,-0.443665,1.000000,0.264293,-0.273290,-0.049206,0.099789,-0.281133,-0.024624
icv,0.343882,-0.231823,-0.239169,0.188314,0.346416,0.103862,-0.344146,0.951217,-0.018923,-0.137456,-0.567114,0.264293,1.000000,-0.067183,-0.067057,-0.076678,0.181525,0.063910
cd,-0.179508,0.196797,0.246352,-0.167511,-0.181614,-0.026498,0.179851,-0.024606,0.023287,-0.686845,0.057501,-0.273290,-0.067183,1.000000,-0.218950,-0.056776,0.068013,-0.171569
reg,0.030475,-0.188599,0.049459,0.134451,0.029201,-0.020916,-0.030422,-0.083114,-0.026454,0.200690,0.181642,-0.049206,-0.067057,-0.218950,1.000000,0.029892,-0.085722,0.103950
sp,0.024098,0.095751,-0.120217,-0.066693,0.025010,0.010299,-0.020769,-0.037307,-0.110828,0.039548,-0.114900,0.099789,-0.076678,-0.056776,0.029892,1.000000,-6.906890,-0.052188
sp_size,-0.074347,-0.330483,0.220469,0.171105,-0.075952,-0.031967,-0.097444,0.090350,0.299989,-0.136278,0.257052,-0.281133,0.181525,0.068013,-0.085722,-6.906890,1.000000,0.134004
sp_size_variation,0.004735,-0.621961,0.044636,0.112040,0.006218,-0.049986,-0.004811,0.036127,0.836439,-0.090864,0.023051,-0.024624,0.063910,-0.171569,0.103950,-0.052188,0.134004,1.000000
