image,ground_truth,ue,oe,rec,pre,ue_np,ue_levin,asa,sse_rgb,sse_xy,co,ev,mde,icv,cd,reg,sp,sp_size,sp_size_variation
"100007","100007-0",0.011088,0.938012,0.999694,0.0446502,0.022176,0.528507,0.988912,178.262,914.722,0.0816149,0.97781,0.121691,11.5451,0.48852,0.14891,500,308.802,410.468
"100007","100007-1",0.0138535,0.932306,0.9909,0.0567814,0.0276099,1.12444,0.986146,178.262,914.722,0.0816149,0.97781,0.152518,11.5451,0.48852,0.14891,500,308.802,410.468
"100007","100007-2",0.0285102,0.926633,0.966374,0.0869306,0.0570204,0.641868,0.97149,178.262,914.722,0.0816149,0.97781,0.28893,11.5451,0.48852,0.14891,500,308.802,410.468
"100007","100007-3",0.0236721,0.925447,0.962393,0.0716374,0.046172,15.504,0.976328,178.262,914.722,0.0816149,0.97781,0.27601,11.5451,0.48852,0.14891,500,308.802,410.468
"100007","100007-4",0.0258159,0.913835,0.985273,0.105897,0.0512302,7.73808,0.974184,178.262,914.722,0.0816149,0.97781,0.187418,11.5451,0.48852,0.14891,500,308.802,410.468
"100039","100039-0",0.0286656,0.950901,0.893096,0.0650446,0.0571693,73.0369,0.971334,1530.56,283.18,0.104069,0.823834,0.569887,32.9011,0.405082,0.179583,501,308.186,292.127
"100039","100039-1",0.0974281,0.872553,0.84557,0.149663,0.191579,28.4196,0.902572,1530.56,283.18,0.104069,0.823834,0.779871,32.9011,0.405082,0.179583,501,308.186,292.127
"100039","100039-2",0.0177007,0.963491,0.894931,0.0313479,0.0354013,0.249596,0.982299,1530.56,283.18,0.104069,0.823834,0.558015,32.9011,0.405082,0.179583,501,308.186,292.127
"100039","100039-3",0.0187564,0.963478,0.923212,0.0340018,0.0375127,39.9867,0.981244,1530.56,283.18,0.104069,0.823834,0.553678,32.9011,0.405082,0.179583,501,308.186,292.127
"100039","100039-4",0.0618066,0.91728,0.871772,0.0976965,0.120738,19.71,0.938193,1530.56,283.18,0.104069,0.823834,0.707323,32.9011,0.405082,0.179583,501,308.186,292.127
"100099","100099-0",0.0240802,0.963031,0.930121,0.058699,0.0480373,2.77098,0.97592,165.55,347.063,0.111888,0.969487,0.485434,10.8041,0.416733,0.174562,500,308.802,258.843
"100099","100099-1",0.0343974,0.96706,0.896506,0.0651424,0.0687949,3.54708,0.965603,165.55,347.063,0.111888,0.969487,0.632368,10.8041,0.416733,0.174562,500,308.802,258.843
"100099","100099-2",0.0256475,0.968226,0.922533,0.0454805,0.051295,0.306372,0.974352,165.55,347.063,0.111888,0.969487,0.531877,10.8041,0.416733,0.174562,500,308.802,258.843
"100099","100099-3",0.0322602,0.960233,0.936539,0.0605197,0.0642807,0.649465,0.96774,165.55,347.063,0.111888,0.969487,0.46162,10.8041,0.416733,0.174562,500,308.802,258.843
"100099","100099-4",0.0351293,0.964469,0.911872,0.0598623,0.0696563,1.08396,0.964871,165.55,347.063,0.111888,0.969487,0.570228,10.8041,0.416733,0.174562,500,308.802,258.843
"10081","10081-0",0.0250711,0.932099,0.962539,0.0782768,0.0489699,57.6687,0.974929,418.516,737.824,0.0961935,0.939508,0.352657,15.412,0.451998,0.160942,502,307.572,332.861
"10081","10081-1",0.0133289,0.945784,0.976723,0.0479954,0.0263664,32.4075,0.986671,418.516,737.824,0.0961935,0.939508,0.250843,15.412,0.451998,0.160942,502,307.572,332.861
"10081","10081-2",0.0105634,0.944813,0.976682,0.0373096,0.0211268,0.658681,0.989437,418.516,737.824,0.0961935,0.939508,0.245057,15.412,0.451998,0.160942,502,307.572,332.861
"10081","10081-3",0.0214571,0.934152,0.937792,0.0499041,0.042843,44.4311,0.978543,418.516,737.824,0.0961935,0.939508,0.421287,15.412,0.451998,0.160942,502,307.572,332.861
"10081","10081-4",0.0234908,0.927533,0.965791,0.0814206,0.0464375,38.9964,0.976509,418.516,737.824,0.0961935,0.939508,0.284312,15.412,0.451998,0.160942,502,307.572,332.861
"101027","101027-0",0.0305892,0.936173,0.931451,0.0640564,0.0611719,2.08464,0.969411,1431.02,309.743,0.0888677,0.873465,0.47563,27.6184,0.42185,0.172444,500,308.802,310.74
"101027","101027-1",0.0331215,0.922539,0.9137,0.0661182,0.0660423,92.657,0.966878,1431.02,309.743,0.0888677,0.873465,0.568904,27.6184,0.42185,0.172444,500,308.802,310.74
"101027","101027-2",0.0429078,0.925363,0.839108,0.0538787,0.0857507,28.2577,0.957092,1431.02,309.743,0.0888677,0.873465,0.828713,27.6184,0.42185,0.172444,500,308.802,310.74
"101027","101027-3",0.0337822,0.918304,0.911985,0.0591372,0.0671693,32.8209,0.966218,1431.02,309.743,0.0888677,0.873465,0.582081,27.6184,0.42185,0.172444,500,308.802,310.74
"101027","101027-4",0.0283612,0.94116,0.926572,0.0589946,0.0562626,3.41576,0.971639,1431.02,309.743,0.0888677,0.873465,0.533446,27.6184,0.42185,0.172444,500,308.802,310.74
"101084","101084-0",0.0196825,0.942611,0.961707,0.0666773,0.0383871,0.739556,0.980317,1576.75,290.009,0.104448,0.849892,0.355193,35.9322,0.416027,0.40713,500,308.802,268.322
"101084","101084-1",0.0265737,0.936315,0.939534,0.0813741,0.0526616,38.6728,0.973426,1576.75,290.009,0.104448,0.849892,0.458901,35.9322,0.416027,0.40713,500,308.802,268.322
"101084","101084-2",0.0229532,0.935855,0.954044,0.0678229,0.0456538,38.5059,0.977047,1576.75,290.009,0.104448,0.849892,0.423944,35.9322,0.416027,0.40713,500,308.802,268.322
"101084","101084-3",0.0697534,0.859224,0.903261,0.14617,0.136923,42.8772,0.930247,1576.75,290.009,0.104448,0.849892,0.579926,35.9322,0.416027,0.40713,500,308.802,268.322
"101084","101084-4",0.0362757,0.925694,0.939132,0.0872492,0.0718324,60.826,0.963724,1576.75,290.009,0.104448,0.849892,0.462126,35.9322,0.416027,0.40713,500,308.802,268.322
"102062","102062-0",0.0689957,0.90331,0.891496,0.107077,0.136178,41.0389,0.931004,1977.23,257.357,0.100546,0.762602,0.625432,38.7803,0.415354,0.175142,500,308.802,263.652
"102062","102062-1",0.0613597,0.915836,0.884926,0.0959741,0.121282,33.1625,0.93864,1977.23,257.357,0.100546,0.762602,0.65993,38.7803,0.415354,0.175142,500,308.802,263.652
"102062","102062-2",0.0244234,0.972351,0.930866,0.0360507,0.0482898,13.5337,0.975577,1977.23,257.357,0.100546,0.762602,0.50406,38.7803,0.415354,0.175142,500,308.802,263.652
"102062","102062-3",0.0504595,0.930292,0.89694,0.0631326,0.100245,35.1504,0.94954,1977.23,257.357,0.100546,0.762602,0.557121,38.7803,0.415354,0.175142,500,308.802,263.652
