metric,mean[0],mean[1],mean[2],mean[3],mean[4],mean_min,mean_max,std[0],std[1],std[2],std[3],std[4],std_min,std_max,median[0],first_q[0],third_q[0],median[1],first_q[1],third_q[1],median[2],first_q[2],third_q[2],median[3],first_q[3],third_q[3],median[4],first_q[4],third_q[4],median_min,first_q_min,third_q_min,median_max,first_q_max,third_q_max,min[0],max[0],min[1],max[1],min[2],max[2],min[3],max[3],min[4],max[4],min_min,max_min,min_max,max_max
ue,0.0383672,0.039636,0.0397301,0.0406778,0.0462085,0.0268024,0.0597149,0.021333,0.020079,0.0207962,0.019871,0.0233328,0.0123463,0.0249912,0.0348443,0.0223638,0.0501292,0.035913,0.0261721,0.0497244,0.0368974,0.0250257,0.0520949,0.0373767,0.0256345,0.0535327,0.0412076,0.0300192,0.0592742,0.0255115,0.0173185,0.0345205,0.0571207,0.042014,0.0741964,0.00609452,0.127642,0.00617224,0.152538,0.00564763,0.12759,0.00633416,0.110388,0.00693001,0.147357,-1,-1,0.0647081,0.152538
oe,0.922011,0.922015,0.918998,0.914641,0.907435,0.8881,0.940674,0.0486116,0.0447504,0.049563,0.051897,0.0543891,0.056539,0.039093,0.932099,0.902238,0.957183,0.929638,0.907164,0.953203,0.928155,0.904644,0.953705,0.927857,0.891617,0.952597,0.920405,0.884152,0.945493,0.90115,0.86184,0.927857,0.952232,0.930344,0.965104,0.695378,0.983051,0.668849,0.986017,0.682262,0.985991,0.632859,0.983031,0.588571,0.982785,-1,-1,0.974599,0.986017
rec,0.921717,0.911478,0.91808,0.922575,0.9157,0.885653,0.942858,0.0429563,0.0411578,0.0439921,0.0377961,0.0432522,0.044641,0.0301106,0.927476,0.898442,0.95606,0.91645,0.887796,0.942161,0.923135,0.892411,0.951469,0.92515,0.901769,0.953782,0.919936,0.890331,0.950339,0.886866,0.855853,0.92502,0.944221,0.924154,0.964943,0.749487,0.999694,0.76238,0.996525,0.776803,0.990918,0.752669,0.988676,0.759064,0.987723,-1,-1,0.977168,0.999694
pre,0.0876913,0.0847498,0.0887328,0.0925646,0.0977193,0.0631902,0.124219,0.0426399,0.0363762,0.0436664,0.0432265,0.0435768,0.0262438,0.0490015,0.0782768,0.0560555,0.116462,0.0808231,0.056911,0.104568,0.0827293,0.0591975,0.106124,0.0819683,0.0597496,0.12012,0.0892852,0.0679512,0.119882,0.0589573,0.0454805,0.0770498,0.118899,0.0882964,0.149663,0.0240583,0.316093,0.0233274,0.20969,0.0203105,0.304945,0.0156396,0.233714,0.0268779,0.258712,-1,-1,0.154017,0.316093
ue_np,0.0760252,0.0785642,0.0786264,0.0804965,0.0912017,0.0533359,0.117608,0.0418746,0.0391147,0.0406053,0.0389326,0.0453951,0.0244714,0.0482149,0.0694231,0.0444362,0.099533,0.071826,0.0521013,0.0985713,0.0737236,0.0498345,0.10419,0.0746886,0.0512529,0.105977,0.0816834,0.0600385,0.117357,0.051023,0.0346112,0.0688597,0.112755,0.0836847,0.146625,0.012189,0.248904,0.0123445,0.288372,0.0112953,0.242252,0.0126683,0.215057,0.01386,0.272997,-1,-1,0.127927,0.288372
ue_levin,34.3685,29.9401,39.174,36.7557,40.6634,4.99922,93.0326,64.8709,41.5139,54.4719,43.2399,56.2064,8.15276,80.8394,14.7235,2.22973,43.076,18.7241,2.52993,40.8148,20.7653,3.1309,54.6571,22.8273,6.38788,47.7932,23.4054,7.21854,53.3574,1.64766,0.639125,6.50934,68.9917,45.6958,111.089,0.189087,678.872,0.207165,287.069,0.177458,342.708,0.182913,228.073,0.219478,393.183,-1,-1,67.7818,678.872
asa,0.961633,0.960364,0.96027,0.959322,0.953792,0.940286,0.973197,0.0213368,0.0200656,0.0207964,0.0198641,0.0233138,0.0249681,0.0123719,0.965156,0.950055,0.977714,0.964087,0.950447,0.974223,0.963103,0.94832,0.975094,0.962623,0.946749,0.974401,0.959301,0.941037,0.970162,0.943909,0.925849,0.9582,0.974828,0.965557,0.983077,0.872358,0.993905,0.847462,0.993828,0.87241,0.994352,0.889612,0.993666,0.852643,0.99307,-1,-1,0.985162,0.994352
sse_rgb,832.307,832.307,832.307,832.307,833.675,827.909,827.909,508.957,508.957,508.957,508.957,509.827,506.302,506.302,732.587,448.278,1106.56,732.587,448.278,1106.56,732.587,448.278,1106.56,732.587,448.278,1106.56,759.517,446.965,1114.02,745.435,446.965,1099.1,745.435,446.965,1099.1,74.3583,3443.96,74.3583,3443.96,74.3583,3443.96,74.3583,3443.96,74.3583,3443.96,-1,-1,3443.96,3443.96
sse_xy,458.313,458.313,458.313,458.313,459.394,456.991,456.991,423.198,423.198,423.198,423.198,423.952,423.812,423.812,331.689,280.976,458.257,331.689,280.976,458.257,331.689,280.976,458.257,331.689,280.976,458.257,333.155,281.234,459.541,332.417,280.717,456.973,332.417,280.717,456.973,200.02,4146.66,200.02,4146.66,200.02,4146.66,200.02,4146.66,200.02,4146.66,-1,-1,4146.66,4146.66
co,0.114805,0.114805,0.114805,0.114805,0.114809,0.114928,0.114928,0.015108,0.015108,0.015108,0.015108,0.0151449,0.0150426,0.0150426,0.113508,0.104036,0.123788,0.113508,0.104036,0.123788,0.113508,0.104036,0.123788,0.113508,0.104036,0.123788,0.113519,0.104003,0.123893,0.113693,0.104069,0.123893,0.113693,0.104069,0.123893,0.0816149,0.171648,0.0816149,0.171648,0.0816149,0.171648,0.0816149,0.171648,0.0816149,0.171648,-1,-1,0.171648,0.171648
